sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
42_MSCAII	248	34	32	29	25	36	42	31	34	21	28	21	12	11	5	4	1	1
42_T	279	30	19	22	24	13	20	18	8	14	12	14	9	5	1	2	1	0
42c	552	62	50	70	31	57	33	35	24	30	10	11	12	6	2	3	0	0
43_MSCAII	299	54	56	18	35	24	53	17	7	12	10	7	5	7	4	0	0	0
43_T	342	48	34	33	34	38	26	24	9	17	15	7	5	5	1	0	0	1
43c	607	116	88	51	28	33	53	38	25	18	19	16	14	11	5	7	0	0
44_MSCAII	263	40	35	22	14	27	31	14	7	12	11	3	6	5	0	0	1	1
44_T	466	66	56	41	71	43	44	33	19	19	23	26	9	11	7	1	1	2
44c	514	114	141	136	140	95	67	64	52	32	26	21	16	9	5	6	0	0
45_MSCAII	279	30	28	32	16	40	25	25	20	13	12	7	4	6	0	3	0	0
45_T	415	60	45	37	53	57	51	35	21	29	23	16	10	10	3	1	1	0
45c	478	90	120	82	70	54	44	43	27	29	24	22	14	8	4	4	0	1
46_MSCAII	231	33	31	16	21	24	25	16	14	11	12	7	5	4	3	3	0	0
46_T	634	72	56	63	88	68	61	47	30	31	30	30	18	12	2	2	1	1
46c	400	51	60	64	55	52	39	35	25	20	27	17	11	10	5	4	0	2
47_AM21	1633	76	137	132	154	147	133	95	95	111	75	73	46	39	26	9	9	6
47_MSCAII	303	43	58	48	33	57	44	39	18	23	18	15	6	10	3	3	0	0
47_T	444	61	59	39	56	55	52	42	31	21	22	22	8	7	2	1	1	0
47c	417	89	68	42	17	21	22	19	18	15	17	10	5	6	5	5	0	1
48_AM21	1005	74	153	134	140	113	108	86	81	75	56	47	29	23	13	3	2	3
48_MSCAII	244	34	57	30	36	37	35	27	24	16	20	18	7	6	3	4	0	0
48_T	250	35	23	21	27	23	19	13	12	16	10	10	11	3	0	1	1	0
48c	810	157	130	79	59	74	76	55	51	41	28	32	26	21	9	3	2	2
49_AM21	1012	39	45	35	41	54	55	45	59	53	43	51	27	27	16	11	3	2
49_MSCAII	224	40	32	29	27	17	19	16	11	6	9	7	6	1	1	1	0	0
49_T	296	38	33	24	39	23	34	21	15	18	14	8	7	8	3	2	0	0
49c	353	80	50	33	17	39	35	22	24	12	17	12	8	4	3	0	0	0
4_AM21	1203	51	92	101	81	80	71	77	67	83	53	46	39	36	19	11	9	3
4_MSCAII	220	30	29	12	10	14	22	19	17	10	6	5	5	1	2	1	0	0
4c	785	113	88	52	53	56	64	43	24	24	19	17	20	16	4	11	2	2
4s	380	22	19	29	35	29	29	33	40	35	35	29	13	23	15	12	4	0
50_AM21	1107	54	91	81	96	67	64	70	70	64	46	53	37	22	19	17	3	1
50_MSCAII	184	26	22	15	20	12	23	11	6	8	7	4	5	4	2	1	0	0
50_T	401	47	41	37	44	39	46	22	19	19	14	11	13	8	2	1	0	0
50c	133	34	21	39	31	26	18	11	11	9	9	8	6	4	1	0	0	0
51_AM21	1206	44	81	57	59	79	62	67	59	63	45	47	33	30	14	9	4	3
51_MSCAII	419	76	66	38	34	35	67	45	25	27	16	13	10	14	9	6	0	0
51_T	351	81	80	75	74	66	59	30	25	22	19	13	13	5	3	1	0	0
51c	110	18	14	17	15	23	8	14	6	10	4	2	0	1	0	0	0	0
52_AM21	1173	46	70	56	79	62	75	62	63	54	45	38	47	17	18	15	4	4
52_MSCAII	159	20	14	5	13	7	6	8	7	11	0	6	4	4	1	1	1	0
52_T	363	52	69	51	76	52	46	47	36	34	18	21	16	24	5	3	1	0
52c	372	47	37	23	11	34	38	19	21	9	13	11	10	6	0	2	0	1
53_AM21	557	17	31	17	16	5	13	10	9	6	11	7	11	6	7	1	1	0
53_MSCAII	268	44	40	25	21	14	16	11	8	23	12	16	5	4	2	3	2	0
53_T	113	17	28	21	33	13	14	23	9	13	3	5	0	1	2	1	0	0
53c	193	22	24	27	27	28	17	20	7	15	12	6	4	4	0	0	0	0
54_AM21	1280	68	111	122	116	114	105	84	85	74	69	65	52	32	21	14	0	6
54_MSCAII	222	17	22	29	15	24	38	22	18	15	6	7	4	3	0	6	0	0
54_T	309	89	94	78	87	58	60	48	27	27	18	13	8	8	4	0	0	0
54c	210	39	37	45	63	44	28	21	17	7	15	5	2	4	3	4	1	0
55_AM21	1195	43	69	72	65	88	73	77	77	57	54	54	37	26	6	13	2	6
55_MSCAII	1047	146	152	129	170	134	138	118	80	88	64	69	39	43	14	22	6	1
55_T	293	70	82	78	69	43	56	46	20	22	14	14	13	5	2	0	0	0
55c	226	33	27	44	59	41	35	21	17	22	16	14	9	13	2	3	2	1
56_AM21	1242	56	70	58	68	66	82	69	42	58	44	39	29	29	18	12	3	8
56_MSCAII	1517	226	150	128	127	153	163	144	131	103	93	68	47	45	23	15	3	4
56_T	291	42	44	31	47	34	35	32	19	23	13	9	6	11	5	1	0	1
56c	364	75	57	35	19	32	33	30	24	20	25	15	15	8	6	6	0	1
57_AM21	1088	74	96	92	69	85	87	75	75	62	55	50	34	33	12	15	3	1
57_MSCAII	139	33	9	3	5	4	3	3	1	2	0	3	0	0	1	0	0	0
57_T	210	77	78	55	53	40	51	25	16	19	8	14	8	12	2	0	0	0
57c	332	65	51	26	15	30	32	23	12	22	19	8	11	7	2	1	1	0
58_AM21	1165	42	46	42	43	58	60	65	65	44	36	35	22	25	21	12	3	4
58_MSCAII	96	4	0	1	1	7	5	5	3	2	2	1	2	1	2	0	0	0
58_T	209	79	74	54	57	39	36	33	16	21	8	8	6	5	3	0	0	0
58c	298	50	49	51	66	53	41	42	28	22	12	14	10	7	1	2	2	0
59_AM21	777	54	52	44	43	33	53	47	49	39	33	24	19	15	4	5	2	3
59_T	287	74	83	64	82	49	59	36	26	23	26	14	8	5	2	2	0	0
59c	143	11	26	16	13	18	6	9	1	10	2	2	6	2	0	0	0	0
5_AM21	328	11	20	18	24	8	12	8	8	2	9	1	4	4	3	3	1	1
5_MSCAII	284	58	49	28	16	17	21	13	8	8	9	1	3	5	3	1	0	0
5c	730	167	124	59	67	78	78	57	51	43	43	33	23	17	11	5	1	2
5s	785	52	89	74	92	91	85	97	86	73	49	61	34	26	12	10	2	2
60_AM21	1141	68	112	109	98	89	72	77	69	63	35	42	32	5	15	6	2	3
60_T	266	66	87	60	71	30	36	40	20	32	16	17	2	3	2	0	0	0
60c	166	5	8	14	16	14	7	10	9	6	6	6	6	3	2	1	0	0
61_AM21	1118	81	129	115	91	80	77	68	53	66	34	33	24	26	14	6	8	5
